,10_40039_S11_R1_001.expression,10_90002_mor_det_45776883_R1.expression,1_10115_88_S4_R1_001.expression,11_10102_mor_det_45794778_R1.expression,11_40044_S12_R1_001.expression,12_20042_eve_det_45788807_R1.expression,12_40035_S13_R1_001.expression,13_10119_94_S14_R1_001.expression,13_90006_eve_det_45796767_R1.expression,14_10104_eve_det_45791770_R1.expression,14_40003_S15_R1_001.expression,15_40047_S16_R1_001.expression,15_Control_blood_9_45784879_R1.expression,16_10103_I1_R1.expression,16_Control_blood_11_45796768_R1.expression,1_70008_mor_imp_45790779_R2.expression,17_10108_I2_R1.expression,17_Control_blood_12_45792774_R1.expression,18_10136_I3_R1.expression,18_Control_blood_13_45786842_R1.expression,19_10141_I4_R1.expression,19_Control_blood_14_45759905_R1.expression,20_10155_I5_R1.expression,20_Control_blood_15_45793787_R1.expression,2_10131_83_S5_R1_001.expression,21_10181_I6_R1.expression,21_Control_blood_16_45775870_R1.expression,22_10100_D1_R1.expression,22_Control_blood_17_45792776_R1.expression,23_10116_D2_R1.expression,23_Control_blood_18_45794783_R1.expression,2_40058_mor_imp_45775868_R1.expression,24_10145_D3_R1.expression,24_Control_blood_19_45793789_R1.expression,25_10146_D4_R1.expression,26_10156_D5_R1.expression,27_30057_D6_R1.expression,3_10166_mor_imp_45795773_R1.expression,3_10189_45_S6_R1_001.expression,4_10177_eve_imp_45795771_R1.expression,4_90003_S7_R1_001.expression,5_10171_eve_imp_45788808_R1.expression,5_40026_S8_R1_001.expression,6_30065_S9_R1_001.expression,6_40049_eve_imp_45790782_R1.expression,7_30040_mor_det_45785850_R1.expression,8_60004_mor_det_45796771_R1.expression,9_30053_mor_det_45787820_R1.expression,9_30074_50_S10_R1_001.expression
hsa-miR-3133,32,2,17,16,0,6,29,20,13,16,12,14,78,3,86,0,5,42,4,68,3,61,1,134,5,6,75,1,82,1,84,5,5,56,6,0,1,0,3,12,21,8,18,12,8,5,6,7,6
hsa-miR-378d,133,73,79,156,19,136,119,114,78,101,84,59,611,56,686,0,68,503,26,397,33,418,36,678,72,23,550,17,616,41,521,67,37,448,63,57,27,129,118,119,110,218,78,92,156,159,101,169,71
hsa-miR-943,14,2,7,8,2,17,18,14,3,9,7,6,22,3,17,0,3,23,3,14,0,17,0,30,16,1,19,0,27,2,22,15,0,17,1,2,0,14,16,10,17,18,14,13,9,16,7,13,10
hsa-miR-4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3125,0,0,0,0,0,0,6,0,1,0,0,3,8,0,8,0,2,1,2,5,0,4,0,0,3,0,0,0,2,0,0,2,1,7,0,3,0,0,2,7,0,9,5,0,4,0,6,0,0
hsa-miR-105-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4756-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4756-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-135b-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
hsa-miR-135b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6744-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6744-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6501-5p,73,64,99,104,192,63,102,76,78,82,85,54,199,32,72,0,53,162,23,66,32,127,24,105,61,26,134,10,158,29,157,76,11,124,19,17,36,67,215,67,103,131,71,107,65,80,102,64,45
hsa-miR-6501-3p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
hsa-miR-6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-135a-5p,0,0,0,0,0,0,0,0,0,1,1,0,5,5,2,0,2,6,2,1,4,0,6,2,1,3,4,0,6,0,5,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0
hsa-miR-135a-3p,0,3,2,2,0,0,0,1,2,4,2,2,2,0,0,0,0,0,0,1,0,1,0,3,0,2,10,1,6,1,3,0,1,5,0,1,0,7,2,3,3,1,1,2,3,0,2,1,3
hsa-miR-378i,176,215,309,339,14,145,96,348,363,415,217,248,2265,52,2259,51,82,1787,123,1570,108,1559,144,2238,249,105,1890,82,2242,116,1971,275,46,1574,83,68,74,262,122,366,208,220,93,138,236,207,253,179,97
hsa-miR-6840-5p,0,1,0,1,0,1,15,5,1,4,3,3,4,2,3,0,10,1,0,11,1,2,3,20,4,0,4,1,11,1,9,6,0,14,0,0,3,2,1,10,4,4,1,0,1,1,2,0,1
hsa-miR-6840-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1911-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1911-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-30c-5p,1394,1098,1564,3454,287,2091,1602,1777,2088,3190,958,1037,4138,970,5994,0,946,7861,897,5769,563,5518,1065,6290,1563,751,8303,679,4508,943,6880,2326,1206,5060,900,878,754,1592,1367,3551,2016,4066,1199,945,2369,1596,1329,3324,1203
hsa-miR-30c-2-3p,2,2,0,0,0,0,3,1,0,2,4,1,1,2,6,0,1,0,1,0,2,0,2,2,0,0,2,5,1,5,0,2,7,1,5,3,3,0,3,1,0,10,0,1,3,0,0,0,8
hsa-miR-4773,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,0,0,0,2,0,0,1,0,0,0,0,0,1,1,3,0,0,1,1,0,0,0
hsa-miR-1233-3p,2,2,4,4,0,2,1,1,2,1,1,1,3,2,0,0,2,1,1,2,0,2,1,4,0,0,2,0,2,0,3,1,1,0,0,1,0,2,1,2,3,7,1,4,0,6,3,3,1
hsa-miR-1233-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548j-5p,18,4,3,19,7,14,11,14,19,23,7,9,102,18,167,0,10,57,9,40,4,96,13,78,16,2,125,6,60,8,50,18,19,47,16,18,9,6,8,47,16,19,13,6,19,2,17,24,15
hsa-miR-548j-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4729,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hsa-miR-3143,1,0,3,2,0,0,0,2,2,7,2,0,9,3,19,0,2,19,1,26,0,16,2,20,0,2,21,2,26,1,63,3,2,10,2,0,1,1,0,2,1,2,1,0,2,1,1,4,0
hsa-miR-6089,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-122-5p,160,331,160,408,22,578,69,97,121,265,579,53,189,40,249,0,200,142,87,212,40,372,166,53,171,71,937,80,85,451,327,85,63,1090,51,97,308,158,692,78,50,106,189,37,51,32,368,469,265
hsa-miR-122-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1908-5p,146,149,114,219,42,427,277,292,306,186,179,166,340,81,293,0,183,115,86,290,106,310,121,381,498,88,383,82,222,117,295,164,130,183,81,49,61,274,128,444,322,465,195,306,254,354,426,390,163
hsa-miR-1908-3p,5,2,0,2,0,0,0,1,4,0,3,1,5,0,1,0,1,1,0,1,0,4,1,2,2,0,3,1,4,1,1,0,2,0,0,0,0,1,0,4,1,1,4,0,2,0,1,2,1
hsa-miR-6810-5p,1,0,0,0,1,1,0,0,0,1,1,2,3,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0
hsa-miR-6810-3p,0,2,0,9,0,4,3,3,7,1,2,6,4,1,0,0,0,3,1,1,0,0,1,4,2,3,4,0,4,0,5,2,1,0,0,5,0,5,2,5,0,2,9,7,3,3,3,4,6
hsa-miR-633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-582-5p,3,1,3,5,3,2,1,0,1,5,1,1,17,0,7,0,3,11,2,29,2,6,1,10,3,5,8,2,9,7,18,2,1,24,1,0,1,3,0,1,0,3,5,7,5,2,3,2,0
hsa-miR-582-3p,0,1,1,1,0,0,0,4,0,1,3,2,6,0,8,0,0,7,0,12,0,3,0,1,3,0,12,0,8,0,2,3,0,12,0,1,0,1,4,2,3,0,2,4,1,0,1,1,1
hsa-miR-133a-3p,6,1,0,2,0,0,0,0,0,4,0,0,20,5,1,0,6,0,0,5,1,6,4,12,1,3,7,4,21,5,1,0,3,3,2,5,1,3,2,0,0,2,0,0,4,0,0,7,0
hsa-miR-133a-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6833-5p,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,2,0,0
hsa-miR-6833-3p,34,25,35,47,15,40,44,19,31,46,21,18,22,14,20,0,22,37,9,50,7,26,18,11,22,5,36,4,48,5,40,22,9,14,14,11,22,39,42,55,22,63,33,40,47,44,23,44,30
hsa-miR-1305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-660-5p,8,1,7,9,1,8,2,8,10,14,5,4,50,18,35,0,20,57,15,46,10,48,35,51,16,18,61,8,53,8,45,15,17,34,19,24,10,7,3,15,3,20,5,2,15,11,11,18,5
hsa-miR-660-3p,4,1,0,1,0,1,0,0,2,5,0,0,3,2,2,0,3,3,4,4,1,7,5,5,1,3,4,2,5,5,3,1,4,1,3,5,3,0,1,1,0,3,0,1,0,4,3,0,0
hsa-miR-5190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4474-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4474-3p,10,6,3,8,0,2,1,3,8,4,9,5,16,1,8,0,8,11,0,12,3,15,9,20,3,1,13,4,18,6,11,4,1,10,0,3,0,7,5,8,5,7,3,7,3,12,8,4,2
hsa-miR-96-5p,66,45,190,107,40,103,154,126,66,174,170,74,1561,73,834,0,179,474,49,579,41,328,122,1153,103,38,435,30,484,100,1863,77,75,626,59,98,52,120,70,223,102,164,98,47,201,126,162,78,85
hsa-miR-96-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-93-5p,5536,3404,4396,12698,968,7272,7388,5375,5907,8401,1940,3770,27999,6326,22159,0,9856,29364,8586,25558,4377,39021,6283,26723,5646,4677,35319,3049,44336,5680,42496,5724,6269,25283,4899,7071,5249,7825,6363,9916,5897,16763,5822,3777,12508,9098,7768,11124,4741
hsa-miR-93-3p,41,14,44,79,3,50,39,37,38,77,23,17,224,43,209,0,60,272,42,232,26,263,58,417,26,36,416,21,293,19,298,52,49,147,26,26,32,42,36,79,42,107,44,17,71,45,41,66,18
hsa-miR-5009-5p,74,5,41,42,14,30,71,65,30,24,35,40,72,12,92,0,12,69,8,58,2,64,4,87,62,5,109,3,95,2,87,22,12,65,7,5,6,21,55,32,91,38,54,36,42,24,25,32,46
hsa-miR-5009-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6877-5p,41,38,46,57,14,58,75,37,51,49,27,35,59,24,47,0,35,37,24,42,24,75,22,72,53,24,64,9,81,20,58,54,28,43,29,19,21,64,38,79,44,122,38,66,55,72,76,80,49
hsa-miR-6877-3p,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2
hsa-miR-4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
hsa-miR-2114-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2114-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-520e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-194-5p,414,154,249,672,105,367,385,292,343,312,238,178,2852,192,2980,0,318,2391,202,1687,106,2075,177,1694,411,102,3323,98,2615,310,1695,337,261,1861,204,303,136,531,444,361,418,946,252,265,357,497,466,403,306
hsa-miR-194-3p,27,19,20,33,4,32,41,34,19,15,25,26,29,4,38,0,7,43,7,24,4,47,12,61,30,6,40,4,37,13,33,16,6,27,6,7,1,26,29,34,36,56,23,41,41,29,18,34,29
hsa-miR-5701,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,4,0,0,2,0,0,1,0,3,0,0,0,1,1,2,0
hsa-miR-3194-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3194-3p,5,2,0,2,0,5,6,1,3,5,1,1,12,2,8,0,5,7,0,4,3,6,2,10,8,1,4,1,14,2,6,3,2,14,2,4,7,4,6,7,4,4,3,1,0,3,5,1,2
hsa-miR-8072,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0
hsa-miR-4649-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
hsa-miR-4649-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6722-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6722-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-7641,96,226,135,352,275,589,171,106,208,189,82,128,392,43,459,0,73,315,72,357,68,387,40,488,115,61,270,59,305,40,303,284,59,322,59,108,53,319,170,391,175,496,134,87,416,328,264,776,144
hsa-miR-3911,2,0,3,3,0,0,5,6,1,1,4,1,3,2,2,0,0,3,0,6,1,5,0,5,2,0,4,1,5,0,5,2,0,4,1,0,1,3,4,4,3,4,1,1,3,4,3,3,1
hsa-miR-3149,20,6,5,16,15,6,7,11,14,8,13,21,22,0,34,0,0,14,0,22,0,17,2,12,32,2,26,1,34,1,23,4,4,23,4,3,6,7,9,10,38,11,28,9,15,6,9,6,23
hsa-miR-33b-5p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-33b-3p,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,1,0,1,0,0,0
hsa-miR-518e-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-518e-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-3938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-548b-5p,0,0,0,0,0,4,0,0,0,1,0,0,7,0,6,0,1,5,7,5,0,3,1,3,0,0,7,1,4,0,6,2,0,2,2,1,0,1,0,1,1,0,0,0,0,0,1,2,2
hsa-miR-548b-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6866-5p,31,7,43,30,4,22,26,32,31,38,44,27,62,6,80,0,6,74,1,43,5,55,3,79,39,2,70,4,61,7,76,22,7,60,5,2,3,15,28,42,32,39,38,32,17,24,31,31,14
hsa-miR-6866-3p,1,2,1,1,2,0,0,1,0,1,0,0,3,1,3,0,0,2,0,1,0,2,1,1,0,0,2,0,1,0,3,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
hsa-miR-26a-5p,34248,18731,31644,55881,4574,21363,28832,34856,34697,44432,17885,30691,221227,11696,156260,0,11611,156635,19077,122402,10216,143903,18521,149156,33957,14132,229867,9801,194300,16546,111835,34348,12291,129131,15013,12279,16093,34645,16631,46195,23873,49645,22613,16803,39126,25142,22153,32291,18669
hsa-miR-26a-1-3p,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,1,4,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
hsa-miR-764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-517b-3p,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6510-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6510-3p,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-7854-3p,38,11,55,21,27,27,118,35,14,9,65,31,18,16,18,0,16,15,3,10,16,2,6,23,59,4,26,8,21,10,21,21,17,19,17,3,9,8,75,43,39,73,48,69,5,20,32,20,56
hsa-miR-6878-5p,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
hsa-miR-6878-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-6842-5p,38,14,12,31,8,27,36,21,20,17,24,14,30,0,24,0,7,20,1,11,2,24,5,19,25,1,23,3,42,3,20,12,2,26,3,4,3,29,34,42,31,37,25,36,12,34,47,26,26
hsa-miR-6842-3p,427,152,314,304,207,243,445,326,168,131,344,332,981,82,487,0,72,502,42,272,29,365,72,623,403,41,537,45,922,49,444,146,59,574,51,59,40,397,361,326,362,387,450,505,342,241,227,322,328
hsa-miR-7151-5p,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-miR-7151-3p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
hsa-miR-3179,23,17,17,32,3,20,17,14,24,26,14,9,51,14,50,0,29,64,9,29,10,38,12,62,22,7,40,3,36,15,37,18,20,38,13,11,15,32,17,41,15,34,18,15,31,24,14,47,9
hsa-miR-342-5p,1002,675,583,1277,340,1145,1115,842,1211,828,1081,571,989,582,1471,0,571,1398,281,849,256,1149,434,1715,927,318,1241,179,1022,353,1180,851,252,1229,428,392,506,1591,1407,1473,862,1898,1333,1770,1038,1833,1080,947,1172
hsa-miR-342-3p,1032,259,401,537,152,350,300,291,294,582,363,385,725,102,371,0,142,1111,90,810,64,828,145,877,371,128,1361,91,691,118,736,291,91,490,119,157,143,258,570,476,345,292,595,387,371,254,345,299,379
hsa-miR-2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5699-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-5699-5p,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4795-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-4795-3p,0,0,2,1,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,2,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0
hsa-miR-4692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0
